이닝,공격팀구분,타자명,투수명,투구ID,상대타석내구수,구종(stuff),구속(speed),좌우위치(crossPlateX),상하위치(crossPlateY),S존상단(topSz),S존하단(bottomSz),타자타석방향(stance),초속X(vx0),초속Y(vy0),초속Z(vz0),가속도X(ax),가속도Y(ay),가속도Z(az),텍스트로그
5,Home,박재현,류현진,260506_200112,3,커터,140.0,-0.567949,0.7083,3.329,1.615,L,-6.04615,-125.614,-5.79846,4.11677,22.903,-24.9944,박재현 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃)
5,Home,김호령,류현진,260506_200253,3,직구,145.0,-0.681675,0.7083,3.311,1.606,R,-8.00843,-130.1,-7.36036,12.6314,27.1957,-15.1904,김호령 : 삼진 아웃
5,Home,박민,류현진,260506_195957,4,커터,137.0,1.29372,0.7083,3.382,1.64,R,-2.47246,-123.318,-3.63576,4.22584,22.4815,-22.0018,박민 : 삼진 아웃
5,Home,박재현,류현진,260506_200134,4,커터,140.0,-0.038934,0.7083,3.329,1.615,L,-5.22257,-126.204,-4.23957,6.3257,23.7025,-21.0655,박재현 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃)
6,Away,이원석,올러,260506_200648,1,체인지업,135.0,-0.694497,0.7083,3.278,1.59,R,5.94493,-120.522,-0.213266,-8.56478,21.8522,-32.2466,이원석 : 좌익수 왼쪽 2루타
6,Away,최재훈,올러,260506_200832,1,직구,145.0,-0.138601,0.7083,3.261,1.582,R,7.45275,-129.59,1.54386,-13.1215,26.3365,-21.5404,최재훈 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃)
6,Away,심우준,올러,260506_201054,1,슬라이더,130.0,-0.421515,0.7083,3.36,1.63,R,3.28554,-116.469,-0.861619,10.2625,18.3902,-40.8941,심우준 : 2루수 플라이 아웃
6,Away,황영묵,올러,260506_201317,1,체인지업,137.0,0.020497,0.7083,3.272,1.587,L,8.10207,-122.001,-2.21447,-10.2788,25.4173,-29.2302,황영묵 : 삼진 아웃
6,Away,이원석,올러,260506_200704,2,슬라이더,132.0,-1.56892,0.7083,3.278,1.59,R,0.476889,-117.907,3.40476,11.0188,19.8186,-38.0226,이원석 : 좌익수 왼쪽 2루타
6,Away,최재훈,올러,260506_200856,2,직구,146.0,-0.000654,0.7083,3.261,1.582,R,7.87064,-130.82,-3.51292,-13.1847,27.9422,-16.7091,최재훈 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃)
6,Away,심우준,올러,260506_201116,2,슬라이더,132.0,-0.533725,0.7083,3.36,1.63,R,3.07563,-118.355,-1.07202,9.33897,19.1308,-37.5768,심우준 : 2루수 플라이 아웃
6,Away,황영묵,올러,260506_201355,2,슬라이더,134.0,0.019534,0.7083,3.272,1.587,L,4.23117,-119.585,0.16121,10.5701,24.5528,-43.952,황영묵 : 삼진 아웃
6,Away,이원석,올러,260506_200723,3,체인지업,136.0,0.029142,0.7083,3.278,1.59,R,7.70848,-121.512,-2.25591,-9.70079,23.9186,-24.1623,이원석 : 좌익수 왼쪽 2루타
6,Away,최재훈,올러,260506_201009,3,슬라이더,133.0,-0.590384,0.7083,3.261,1.582,R,3.68223,-119.948,1.73459,7.20369,21.9355,-42.9405,최재훈 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃)
6,Away,심우준,올러,260506_201142,3,직구,149.0,1.23417,0.7083,3.36,1.63,R,10.9838,-133.052,-7.29043,-15.9249,26.0024,-18.7522,심우준 : 2루수 플라이 아웃
6,Away,황영묵,올러,260506_201418,3,슬라이더,132.0,0.11493,0.7083,3.272,1.587,L,3.96584,-118.503,3.9392,13.359,24.9014,-45.0054,황영묵 : 삼진 아웃
